TxPackets;TxTime;TxId;xPos;yPos
4693;1159;3;17;55
4712;1164;-1;66;72
4731;1166;0;65;54
4750;1167;5;31;25
4769;1170;15;3;8
4788;1171;7;42;76
4807;1172;11;99;17
4826;1173;8;86;96
4845;1174;1;71;52
4864;1175;9;4;40
4883;1175;10;42;16
4902;1179;3;17;55
4921;1184;-1;66;72
4940;1186;0;65;54
4959;1187;5;31;25
4978;1190;15;3;8
4997;1191;7;42;76
5016;1192;11;99;17
5035;1193;8;86;96
5054;1194;1;71;52
5073;1195;9;4;40
5092;1195;10;42;16
5111;1199;3;17;55
5130;1204;-1;66;72
5149;1206;0;65;54
5168;1207;5;31;25
5187;1210;15;3;8
5206;1211;7;42;76
5225;1212;11;99;17
5244;1213;8;86;96
5263;1214;1;71;52
5282;1215;9;4;40
5301;1215;10;42;16
5320;1219;3;17;55
5339;1224;-1;66;72
5358;1226;0;65;54
5377;1227;5;31;25
5396;1228;17;17;41
5415;1230;15;3;8
5434;1231;7;42;76
5453;1232;11;99;17
5472;1233;8;86;96
5491;1234;1;71;52
5510;1235;9;4;40
5529;1235;10;42;16
5548;1239;3;17;55
5567;1244;-1;66;72
5586;1246;0;65;54
5605;1247;5;31;25
5624;1248;17;17;41
5643;1250;15;3;8
5662;1251;7;42;76
5681;1252;11;99;17
5700;1253;8;86;96
5719;1254;1;71;52
5738;1255;9;4;40
5757;1255;10;42;16
5776;1256;2;5;26
5795;1259;3;17;55
5814;1264;-1;66;72
5833;1266;0;65;54
5852;1267;5;31;25
5871;1268;17;17;41
5890;1269;13;87;90
5909;1270;15;3;8
5928;1271;7;42;76
5947;1272;11;99;17
5966;1273;8;86;96
5985;1274;1;71;52
6004;1275;9;4;40
6023;1275;10;42;16
6042;1276;2;5;26
6061;1276;16;32;89
6080;1279;3;17;55
6099;1282;12;40;47
6118;1284;-1;66;72
6137;1286;0;65;54
6156;1287;5;31;25
6175;1288;17;17;41
6194;1289;13;87;90
6213;1290;15;3;8
6232;1291;7;42;76
6251;1292;11;99;17
6270;1293;8;86;96
6289;1294;1;71;52
6308;1295;9;4;40
6327;1295;10;42;16
6346;1296;2;5;26
6365;1296;16;32;89
6384;1299;3;17;55
6403;1302;12;40;47
6422;1304;-1;66;72
6441;1306;0;65;54
6460;1307;5;31;25
6479;1308;17;17;41
6498;1309;13;87;90
6517;1310;15;3;8
6536;1311;6;78;15
6555;1311;7;42;76
6574;1312;11;99;17
6593;1313;-1;66;72
6612;1313;8;86;96
6631;1314;1;71;52
6650;1315;9;4;40
6669;1315;10;42;16
6688;1316;2;5;26
6707;1316;16;32;89
6726;1319;3;17;55
6745;1322;12;40;47
6764;1326;0;65;54
6783;1327;5;31;25
6802;1328;17;17;41
6821;1329;13;87;90
6840;1330;15;3;8
6859;1331;6;78;15
6878;1331;7;42;76
6897;1332;11;99;17
6916;1333;-1;66;72
6935;1333;8;86;96
6954;1334;1;71;52
6973;1335;9;4;40
6992;1335;10;42;16
7011;1336;2;5;26
7030;1336;16;32;89
7049;1339;3;17;55
